Name;Radio Call Sign (RC);Location date;Latitude;Longitude;Heading;Speed (kt)
HURACAN I (ART);CB7014;18/12/2022 11:02:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 11:17:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 11:32:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 11:47:01;-42.1323;-73.3625;174.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 12:02:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 12:17:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 12:32:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 12:47:01;-42.1323;-73.3626;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 13:02:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 13:17:01;-42.1323;-73.3625;174.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 13:32:01;-42.1323;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 13:47:01;-42.1323;-73.3626;174.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 14:02:01;-42.1323;-73.3626;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 14:17:01;-42.1323;-73.3626;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 14:32:01;-42.1323;-73.3626;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 14:47:01;-42.1324;-73.3625;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 15:02:01;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 15:17:01;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 15:32:01;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 15:47:01;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 16:02:02;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 16:17:02;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 16:32:01;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 16:47:01;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 17:02:01;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 17:17:01;-42.13;-73.3621;0.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 17:32:01;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 17:47:01;-42.13;-73.3621;7.0;0.00 kt
HURACAN I (ART);CB7014;17/12/2022 18:02:01;-42.1308;-73.3621;0.0;0.00 kt
