Name;Radio Call Sign (RC);Location date;Latitude;Longitude;Heading;Speed (kt)
HURACAN I (ART);CB7014;22/12/2022 11:17:01;-42.0996;-73.3927;65.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 11:32:01;-42.12;-73.365;163.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 11:47:01;-42.1327;-73.3635;279.0;4.00 kt
HURACAN I (ART);CB7014;22/12/2022 12:02:02;-42.133;-73.3659;155.0;0.50 kt
HURACAN I (ART);CB7014;22/12/2022 12:17:01;-42.1342;-73.3648;101.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 12:32:01;-42.1348;-73.3666;147.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 12:47:01;-42.1361;-73.3656;105.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 13:02:02;-42.135;-73.3654;128.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 13:17:01;-42.1327;-73.3638;209.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 13:32:01;-42.1329;-73.3618;312.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 13:47:01;-42.1329;-73.3618;88.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 14:02:01;-42.1329;-73.3618;92.0;0.50 kt
HURACAN I (ART);CB7014;22/12/2022 14:17:01;-42.1329;-73.3618;279.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 14:32:01;-42.1329;-73.3618;262.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 14:47:01;-42.1329;-73.3618;88.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 15:02:01;-42.1329;-73.3618;72.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 15:17:01;-42.1329;-73.3618;284.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 15:32:01;-42.1329;-73.3618;94.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 15:47:01;-42.1329;-73.3618;90.0;0.00 kt
HURACAN I (ART);CB7014;22/12/2022 16:02:02;-42.1351;-73.363;76.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 16:17:01;-42.1356;-73.3615;214.0;0.99 kt
HURACAN I (ART);CB7014;22/12/2022 16:32:01;-42.1567;-73.3397;172.0;6.99 kt
HURACAN I (ART);CB7014;22/12/2022 16:47:01;-42.1446;-73.3402;355.0;9.00 kt
HURACAN I (ART);CB7014;22/12/2022 17:02:01;-42.1112;-73.3262;22.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 17:17:01;-42.0801;-73.3113;12.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 17:32:01;-42.0485;-73.3008;10.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 17:47:01;-42.0171;-73.2907;18.0;6.99 kt
HURACAN I (ART);CB7014;22/12/2022 18:02:01;-41.9846;-73.2836;14.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 18:17:01;-41.9534;-73.2717;359.0;6.99 kt
HURACAN I (ART);CB7014;22/12/2022 18:32:01;-41.9221;-73.2578;17.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 18:47:01;-41.8916;-73.2412;25.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 19:02:01;-41.8641;-73.2195;33.0;7.50 kt
HURACAN I (ART);CB7014;22/12/2022 19:17:01;-41.8372;-73.1991;28.0;6.99 kt
HURACAN I (ART);CB7014;22/12/2022 19:32:01;-41.8053;-73.1988;8.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 19:47:01;-41.7939;-73.1689;86.0;8.00 kt
HURACAN I (ART);CB7014;22/12/2022 20:02:01;-41.7705;-73.1418;40.0;4.99 kt
UZIEL II (ART);CB7875;22/12/2022 11:13:01;-36.714;-73.5091;229.0;6.00 kt
UZIEL II (ART);CB7875;22/12/2022 11:21:01;-36.7168;-73.5231;289.0;6.99 kt
